Genes	HSC	MPP	LMPP	CLP	GMP-A	GMP-B	GMP-C	CMP	MEP	NK	CD4	CD8	B	pDC	Mono	Ery
SHOC2	13559	14647	9444	20474	2013	1988	3260	18093	14378	15829	16193	12693	21944	5376	19924	6822
TFAM	5297	6561	4434	5442	1595	1714	3120	6950	10228	3853	6244	5735	5536	2416	2915	1062
CCDC6	28607	30660	15005	8274	6134	7594	11702	28748	32522	8527	13511	9691	23283	13033	23254	1823
CUL2	3601	3899	2746	2981	745	683	1878	6347	6636	4792	6188	4925	4352	922	4183	1850
CCNY	13664	16033	6784	4998	2537	3348	5828	15514	14028	7195	11998	9090	7315	4741	29996	504
UBE2S	125	303	85	67	32	77	262	438	407	37	75	76	113	277	147	160
RPL28	58592	93941	36130	3908	31013	33231	60034	95502	84847	10559	82374	55372	37239	22778	48228	930
ZMIZ1	30601	43641	15408	17373	10749	12255	37942	32178	21267	4812	4309	2015	3203	24595	29967	1588
DNAJC12	373	482	368	40	62	25	21	589	716	0	5	7	11	72	0	6
PPIF	830	1534	2029	464	1693	2550	4104	4573	5776	504	804	394	675	958	4359	468
PBLD	615	336	208	363	83	87	513	573	435	55	217	134	258	241	389	49
TSPAN14	2615	3503	2085	9539	1939	2194	5695	5475	8019	11070	24482	14112	3253	2726	24088	2284
LGI1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBC1D12	812	394	188	4	14	7	115	153	97	165	10	1	694	6	1680	145
CYP2C18	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
KRT23	0	0	1	0	0	0	0	1	4	1	0	0	0	0	121	0
CRYBA1	31	46	12	28	0	4	0	33	9	48	71	36	49	23	89	31
NUFIP2	17530	17962	12711	10695	3306	3287	7336	15977	14130	13862	16754	14481	12487	6841	17483	4225
GIT1	2794	4383	1683	384	1873	2485	7636	4608	4802	1000	1726	1126	679	5315	2469	2
TADA2A	535	802	934	787	56	234	343	1054	1255	837	998	838	538	405	444	670
AATF	6170	6952	4765	3935	2794	3303	7109	10346	12153	8825	10692	7777	6842	6834	9890	1726
DHRS11	279	568	300	79	178	83	71	1248	2943	89	188	106	59	208	158	172
ZNHIT3	1396	1761	1052	1015	81	135	225	1939	2473	1401	3324	2161	1458	280	1602	278
MLLT6	6107	6403	3162	1344	2106	2063	2264	5320	5346	13933	16945	11631	5564	4320	3531	82
PSMB3	1010	1916	1162	1663	316	384	741	3214	3371	1337	1365	1092	546	968	3497	774
CWC25	2089	3155	1449	1439	754	806	1132	3214	3653	1340	1480	977	1393	1689	3133	880
RPL19	126432	179115	77958	27266	43544	40665	67114	203878	195916	27596	175137	107068	78490	65824	83793	5754
FBXL20	4339	5615	3178	2152	1722	1749	3455	6282	8166	3589	3987	3015	2666	1582	4569	3364
RUNDC3A	85	13	1	0	4	2	0	20	3	8	4	2	6	0	16	130
UBTF	4602	6486	3582	2537	2472	2425	5196	8348	8439	3901	5173	4987	4310	5739	2913	2345
CSF3	1	2	0	0	1	0	0	1	0	5	0	0	1	0	0	0
PSMD3	2310	3617	1423	847	2029	2363	3120	3518	4752	1051	1694	1195	1354	1392	2536	549
CASC3	9976	12834	6985	6667	3090	3649	3808	16209	18318	9057	11692	7548	6680	6475	12872	5922
RAPGEFL1	139	202	110	36	8	5	184	189	173	33	215	85	69	56	262	18
RGS9	1	0	0	18	0	0	1	0	1	957	26	88	0	0	1	31
RNF43	283	283	262	825	42	39	115	153	217	400	671	360	426	247	17	6
WNT3	1	8	2	8	0	0	0	1	90	187	47	43	161	0	64	0
ASPA	9	37	0	1	0	0	0	2	2	0	0	0	0	0	0	2
RAD51C	2063	2023	2639	2674	467	644	704	4785	5010	1751	1857	1564	961	727	827	1747
SEPT4	2	5	0	0	0	0	0	137	0	12	13	4	4	0	30	0
MTMR4	4222	5729	3848	2757	2062	1762	2218	7180	8090	2532	3704	2625	3589	2026	2845	1430
TRIM37	2619	3010	1893	1408	227	223	429	3439	4008	1623	2501	1982	1852	708	1154	529
P2RX1	1621	2218	769	451	719	1976	3106	3918	3856	6	2	0	287	1138	1964	0
DHX40	5726	6958	4285	4923	787	894	1679	8079	10939	3177	4883	4111	4715	1493	4195	3669
KRT37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUBD1	463	646	326	390	40	8	7	511	768	530	1297	931	614	82	279	409
KPNB1	17805	20664	11388	12082	6163	6700	16531	26852	27010	11212	12946	10148	8509	9875	8926	4382
GOSR2	1541	1840	815	688	265	164	203	1763	3322	1247	1793	1623	1821	443	1351	745
PNPO	589	662	377	129	152	136	1024	589	2251	202	312	369	143	239	921	189
RPS6KB1	6022	5960	4860	5633	1837	1573	4548	7565	8790	5489	8131	5837	4640	2878	5152	2549
TRIM16L	136	226	89	2	10	30	44	261	162	90	64	37	62	38	52	1
CDK5RAP3	2172	3235	1683	693	970	713	1810	5040	4797	1247	1639	1251	1158	2344	4009	217
CBX1	9236	10599	7291	8078	5320	5968	17310	15179	16739	7268	6122	4828	5776	22169	8205	1598
RECQL5	601	593	290	105	50	51	140	503	765	125	434	300	321	404	361	269
PIGL	591	515	379	501	81	63	72	402	697	438	1242	890	749	67	335	91
GALK1	81	166	103	10	9	31	86	243	134	25	23	6	12	90	243	0
INTS2	1888	2603	2293	1883	490	379	647	4029	5554	2435	2709	2209	1747	561	1638	1502
CAMTA2	1513	1321	583	351	401	713	905	1014	954	1576	2863	1448	881	692	5245	107
MED13	30462	34304	19405	23950	4269	5018	10835	35504	34105	35888	35378	29399	35096	14910	39212	27251
HOXB6	92	174	14	0	1	1	3	68	2	1	13	0	0	0	0	0
ENO3	65	120	52	10	18	15	17	225	224	56	95	88	25	16	18	1
PFN1	9251	15066	10345	6630	16355	17178	31525	26957	25640	28497	21360	17451	8959	20944	32796	1880
RNF167	2810	3030	1624	826	649	1066	1761	3127	3670	3703	3733	2720	1401	1830	4221	974
SLC25A11	796	1224	442	218	239	722	706	1467	1662	522	519	510	304	340	1583	174
RASD1	23	49	187	348	2270	2006	10607	22	8	23	16	6	110	138834	30	13
CHRNE	39	79	6	1	0	0	0	48	3	19	33	33	6	0	31	4
RAI1	798	1527	997	157	409	806	2162	1166	1096	653	373	351	524	1415	1055	49
NUP88	3396	3906	3150	7857	524	490	1712	6110	7983	3503	5431	4289	9558	1624	3292	4851
C1QBP	4105	6741	4843	3738	1502	1543	2071	10536	15369	1993	4667	3361	1698	2119	2259	992
SLC6A4	104	52	32	44	2	1	0	52	13	223	252	124	63	3	30	15
BLMH	5238	5697	4399	2816	1364	1497	2256	8197	8383	2339	3490	2459	811	4082	1646	212
CPD	7674	10009	6907	2497	2833	2822	4059	16262	11502	20184	7142	7591	2729	1754	36140	1830
GOSR1	4000	4598	2433	3190	539	571	1220	4319	4080	3629	4316	3378	3564	1263	2769	1037
CCDC47	9421	12786	7303	4535	2472	2552	4919	14017	16505	5630	4284	4025	2922	7457	9979	5711
MED31	462	427	343	159	9	20	18	385	311	338	774	708	1068	106	869	205
DRG2	1124	1420	773	392	146	142	977	1392	2322	810	1447	944	1171	413	1647	89
FTSJ3	1778	2057	2073	1128	1275	1293	1982	3401	4594	1473	1584	1101	828	3172	2565	376
AKAP10	1316	1754	1041	1076	211	280	250	1979	1780	2430	3773	2828	2433	652	3102	619
ALDH3A1	5	6	5	0	11	0	0	15	3	0	1	0	0	0	0	0
SMARCD2	1128	1713	941	1225	1238	1439	2863	2198	2415	539	859	631	366	1435	1457	75
ICAM2	438	998	209	376	66	16	68	1085	1267	742	968	449	378	45	636	0
SYNGR2	2359	4503	1844	87	1519	1566	3319	7804	7722	836	2289	1321	5367	1056	10371	143
B9D1	31	59	8	5	18	10	4	215	321	82	21	21	35	0	76	16
UTP6	2873	3245	2712	1905	305	418	1696	3662	4763	1733	1759	1449	2436	1319	2447	902
DDX5	40056	44230	27402	52518	5437	5962	16077	46407	43150	63736	84529	66837	64482	29833	65746	15418
C17orf75	593	711	519	1269	91	56	114	747	958	728	681	553	475	159	426	425
CYTH1	2398	2570	2066	2898	587	1028	2310	1814	1146	13006	15533	9021	7646	7082	6820	430
PSMD11	4577	5839	4052	3826	2001	2349	5689	7361	8719	3978	5183	3648	3152	2591	5680	3759
LGALS3BP	1355	1225	1864	260	561	647	589	757	1428	24	1439	538	93	70	777	1
ASIC2	0	2	0	0	0	0	0	27	0	0	0	0	0	0	0	0
CCL7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
CCL2	5	1	1	0	0	0	0	10	0	0	0	0	0	0	171	0
CCL8	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	0
CCL1	4	10	0	0	0	0	0	1	0	1	0	0	0	0	0	0
PEX12	343	431	311	101	33	35	216	450	636	381	727	514	202	50	248	121
HNF1B	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
KRT32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DHX58	88	181	122	20	12	13	432	438	155	68	303	178	90	5	296	0
KAT2A	603	990	655	55	578	272	619	1130	1313	158	498	296	209	161	295	1
RAB5C	1162	1588	926	317	1128	671	1730	2094	1923	1160	1314	896	1154	1063	5029	209
NAGLU	365	336	275	15	144	131	110	451	577	192	190	145	460	41	450	6
HSD17B1	68	93	53	26	19	168	57	73	77	80	84	49	60	65	48	0
MLX	1621	2137	1170	997	510	487	1232	2658	2918	1523	2024	1454	754	625	5306	370
CNTNAP1	177	133	63	180	63	15	0	30	14	233	374	192	206	144	251	27
ABI3	6	8	29	6	23	1	946	1	4	2997	150	437	131	293	1956	9
EZH1	2738	2503	1306	1050	399	309	1098	1596	1388	3560	5518	3242	4184	656	3727	2627
DLX4	8	8	14	1	24	2	0	31	55	3	21	6	2	13	59	0
PPP1R9B	1275	1568	523	158	753	510	5083	1557	1189	824	1101	711	1659	4541	5249	334
COL1A1	16	4	2	13	0	0	52	1	1	1	9	6	9	0	1	5
SGCA	0	1	0	0	3	0	0	1	0	4	3	1	15	2	1	0
PTGES3L-AARSD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPL27	389	637	504	523	62	95	212	977	1572	683	481	410	400	207	586	543
VAT1	2047	2585	2071	331	5819	3413	1034	10591	5071	684	1461	639	634	500	2318	11
LRRC59	3029	4634	2855	1871	1536	1318	2606	9694	7708	1190	1990	1841	1867	2312	4737	1203
RND2	56	52	9	8	2	3	0	20	1	0	12	0	2	59	1	6
ALOX12	146	201	56	44	1	24	32	873	241	96	170	79	118	35	312	27
HDAC5	1131	2345	615	205	244	356	1309	1136	285	390	874	507	653	1362	1601	12
ABCC3	2	6	3	0	0	0	0	18	7	0	19	1	10	0	1204	1
LUC7L3	10443	11002	7923	10958	2496	1872	2855	11101	15226	7904	12274	9055	9505	5093	7710	5313
PPY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MPP2	54	55	19	5	2	3	37	64	34	2	88	55	0	46	0	0
SMURF2	2129	2547	2062	3453	509	439	906	2435	1955	5348	4289	3676	4098	2014	2079	30
DUSP3	5946	5996	2599	98	1903	2083	4420	3312	1171	328	537	377	246	2586	6413	3
CACNG1	0	0	0	0	0	0	0	0	0	5	1	0	1	0	0	0
EFTUD2	4563	6112	4859	1905	2368	3568	4006	8681	10183	3445	3442	2623	2147	3083	8050	1043
HLF	36141	21574	1391	7	224	43	58	2056	128	4	549	24	3	4	8	0
SLC16A6	38	12	14	60	10	10	19	3	3	2091	695	962	57	100	3728	3
PRKAR1A	13490	15909	10980	12259	5614	6973	17856	18194	13644	28407	12591	11567	11058	16759	34749	1720
EFNB3	18	27	9	0	0	0	0	11	1	0	1	5	1	0	0	0
FAM20A	88	45	45	128	4	0	5	43	53	153	177	88	97	30	131	31
YWHAE	29108	40829	29588	33873	15610	18808	43475	58317	59006	8074	9073	7463	8017	32556	27129	17187
MMD	1167	976	805	680	74	156	349	1300	1104	1036	1834	1826	3073	344	672	2185
RANGRF	83	89	49	58	1	0	2	141	181	71	100	79	110	10	40	3
DPH1	704	728	190	36	123	149	37	451	613	111	584	300	112	302	319	16
MAP2K6	762	674	513	342	81	69	310	795	706	1001	1818	1352	349	519	2456	5
DHRS7B	445	678	479	121	164	113	543	821	945	361	331	263	376	59	1505	708
WSB1	9851	11594	7603	9664	2227	3197	7753	12077	11799	12292	10053	8330	11571	6260	19027	5520
RCVRN	0	0	23	0	2	0	0	0	0	32	6	1	2	9	112	0
MYH1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC9A3R1	4177	5493	3834	439	2325	3057	6064	5726	4176	9911	5051	4445	1120	7698	7784	20
MYH3	118	121	116	52	3	2	1	190	95	112	163	151	88	70	75	18
NAT9	747	800	559	145	72	244	17	679	978	379	667	469	295	448	1062	23
TMEM104	413	609	507	90	145	429	1703	703	814	447	592	219	74	735	3153	25
VTN	16	11	5	3	6	9	0	8	26	19	61	55	39	96	171	1
TNFAIP1	1219	1605	666	324	524	165	905	1337	1459	661	1235	936	520	607	1148	241
IFT20	806	1280	699	582	156	85	388	972	1056	629	1001	750	711	294	1458	329
TMEM97	2039	3226	2745	1432	1236	1992	2937	6238	6542	825	532	709	398	1112	244	808
CDR2L	9	60	35	0	18	10	96	34	3	0	0	0	0	571	7	0
PMP22	67	89	31	1	34	17	85	1616	4991	24	0	1	0	472	685	22
FOXN1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
UNC119	354	367	132	53	90	65	507	409	220	402	662	328	405	447	2001	0
ALDOC	743	931	221	8	46	13	104	420	287	631	1314	785	220	52	274	9
SUPT6H	9724	10133	5448	3148	2821	3290	7416	10944	13992	7198	8507	5875	3859	8115	11258	2702
RAB34	2731	3293	1469	610	570	605	2125	2923	1865	48	163	148	190	819	1966	2
PHF12	6642	7426	2881	2755	2049	1884	3300	6049	6712	5364	10362	6757	6655	3202	9623	1687
PHOX2B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM33	8975	11159	7122	8582	2211	2528	4506	17453	13974	7060	7044	6195	4835	2584	24831	1228
GABRA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNRHR	24	13	12	33	0	0	0	24	24	53	48	30	33	4	5	0
SLAIN2	8474	9025	4573	7102	2088	1996	4710	10312	10262	13509	16188	12711	9700	1988	12082	3843
OCIAD1	6701	8643	5406	5667	1014	1078	2104	8759	9520	5702	6942	5736	4248	1397	5397	2780
UGT2B10	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0
CWH43	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
DCUN1D4	2479	3082	1752	2276	192	384	269	2528	3116	2336	3382	2549	1889	164	1378	1499
USP46	2473	2708	1416	726	330	201	537	2816	2760	969	1681	754	792	642	852	29
SULT1E1	1	0	16	1	0	2	0	4	0	14	0	0	0	1	1	0
ODAM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMR3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHIC2	1501	1584	651	1962	209	224	234	1708	1222	2227	2731	2448	1531	262	1936	1163
NMU	6	7	1	0	0	0	0	24	471	0	4	0	0	0	0	10
KIAA1211	1134	2946	455	18	192	229	348	5020	7085	1	2	1	10	258	3	202
LAMTOR3	1784	2656	1512	2434	330	191	977	2494	2491	1849	1658	1259	1153	761	2066	1330
PF4V1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
NFKB1	6038	7662	4697	4903	1290	1364	4435	8194	12539	4463	11770	9209	6457	6247	14105	134
AREG	834	1191	163	10	402	463	1192	298	35	196	18	16	28	320	59	0
MANBA	6109	8252	4857	1925	1268	1825	1834	8143	5400	2522	2624	2199	4786	1988	15151	83
UBE2D3	22878	29226	16578	27130	26655	26031	58378	36271	38082	28308	40542	30920	23745	27368	53715	26651
MAPK10	14	12	23	11	4	0	0	3	0	0	5	0	37	3	84	0
ELF2	4782	6051	5066	8162	1079	987	1397	6427	7332	9239	9446	6789	7570	4761	7311	3874
NDUFC1	618	939	580	459	34	104	167	771	953	363	837	507	459	154	657	586
UCP1	1	0	1	0	0	0	0	0	0	9	6	8	0	0	0	0
TBC1D9	204	184	5	5	3	0	11	21	3	137	7	3	7811	578	7690	1
ZNF330	3422	3475	2632	2160	418	312	1313	3539	4377	1856	2670	2270	1350	884	3837	485
INPP4B	13417	13685	3000	1599	272	501	176	8512	1685	730	42943	16339	53	167	67	11
GAB1	4931	4993	4260	35744	915	557	1837	4514	8475	1463	33	43	7901	6377	4961	15236
KLHL2	732	708	779	1251	188	201	377	1226	944	1364	1707	1055	2063	638	3919	263
IL2	0	0	0	0	0	0	0	1	0	1	38	1	0	0	0	0
CPE	10	0	1	0	0	0	0	7	0	45	2	0	0	0	6	0
RPL34	35638	44606	21428	17283	9705	9167	15804	41911	40886	11368	45206	27911	22690	11316	15703	3589
WFS1	102	83	137	292	170	25	9	7	4	66	69	147	50	63	63	0
ANXA10	9	9	17	5	0	0	0	3	5	16	18	19	1	0	0	1
GRPEL1	744	886	860	840	456	540	1088	2389	3849	1770	3901	2498	953	832	6021	469
GAR1	1188	1709	1707	1193	1860	1459	3693	2548	5321	797	666	560	302	1013	668	1295
FRG1	1829	2681	1840	2011	325	196	692	3694	3795	2449	2544	1888	1347	902	2558	2240
CLCN3	4162	4931	3914	5569	349	936	1631	3735	3871	7393	6340	6228	5979	3646	6303	26897
AADAT	905	906	1017	255	158	36	391	633	213	1	1	0	4	115	1	2
GALNT7	7765	8650	8502	16532	1334	1822	2629	9038	7178	2296	2787	2207	3015	5335	6338	2232
DHX15	13617	14600	12974	16297	3974	3563	9593	21070	24403	11107	11295	9608	11721	6709	10302	6907
SOD3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEPSECS	710	796	762	1337	77	102	126	1071	899	815	1348	1083	1119	113	651	683
CPZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM2	842	821	145	1371	71	22	311	408	130	10	941	104	385	78	510	17
SLC2A9	251	158	276	4	39	65	317	262	120	36	93	59	77	106	2386	0
FBXW7	2324	2499	1739	6000	834	614	855	3092	2477	5842	5929	4719	3546	2377	6893	1706
NEIL3	549	759	1228	2703	483	553	1459	1682	1673	290	234	223	467	1790	3049	2104
TBC1D19	551	746	590	624	85	104	376	788	769	1010	695	555	344	694	85	21
CLNK	110	85	488	27	30	1	694	16	0	313	83	2	159	243	1	0
WHSC1	5940	7956	8005	7323	3877	4747	11692	15023	16816	1659	3127	1943	2272	16519	2786	15239
SH3D19	855	907	510	645	134	45	743	950	919	478	1592	942	1145	491	1188	245
STIM2	3446	3452	2160	2931	813	1067	3321	3420	2575	10717	11477	8886	12145	4076	4979	394
NKX3-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MFSD10	177	338	259	2	191	289	160	530	289	187	111	100	57	74	324	1
GLRB	83	75	23	0	0	0	0	118	136	0	0	0	0	2	0	0
BST1	1143	1340	739	260	370	230	743	1557	647	54	70	38	23	162	14411	3
RAPGEF2	22239	23506	3969	7388	610	966	2216	10118	9054	3246	3150	2289	3587	3150	9706	30951
HGFAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNX25	477	241	67	1601	3	5	4	33	158	2227	1758	1627	6973	119	109	246
LRP2BP	117	92	26	456	13	3	0	33	78	578	701	533	1128	40	36	36
UFSP2	984	910	422	753	51	53	31	591	852	600	1197	828	980	102	559	194
KLF3	19505	18530	11099	8315	11870	9780	13480	16269	28084	21637	33194	23201	15877	18490	29295	56059
KLHL5	3101	3282	1714	1645	399	826	539	4114	6238	690	1759	719	3794	644	3740	41
FAM149A	3	0	0	0	0	0	0	7	0	0	26	5	0	2	1	0
NCAPG	1281	1305	2737	8655	299	277	1034	4792	6479	303	218	285	421	1192	305	13051
UGDH	4205	5283	4005	2154	1231	1468	2966	8374	5818	4294	3445	3262	3364	3029	4906	55
PPARGC1A	8	15	175	0	136	18	226	43	1	0	0	0	0	0	1579	0
DDX25	6	8	23	10	0	0	0	16	19	1	17	1	1	10	4	2
CRYAB	0	0	0	0	0	0	0	0	7	0	0	1	0	0	3	0
DBX1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0
HTATIP2	1173	1282	864	1033	158	181	75	1173	602	1369	1837	1367	1148	164	3332	155
CTSC	4561	6359	6865	1772	1239	1639	4079	13678	11399	21279	6390	6486	1549	4612	20189	53
CCDC34	1445	1458	1488	1670	1399	1232	2070	2306	3256	251	503	349	165	2140	84	2425
ZBTB16	1696	2622	236	6	406	289	246	3239	1512	2815	841	413	2304	16	2973	0
ELP4	2253	2296	2021	1157	410	403	837	2829	3749	1478	2374	2141	1954	395	1759	782
ZNF259	2799	3930	2448	1066	955	1304	2566	4372	5394	2010	2486	1817	1695	3304	2773	504
MTCH2	2654	3290	3182	3158	1163	1012	3285	5732	8141	2750	2130	2203	1590	1731	4209	2162
FNBP4	8173	7674	5011	6888	1699	995	2959	7688	9087	7870	13859	10177	11770	6019	7510	1193
TECTA	26	16	19	5	2	0	0	25	40	40	77	45	27	137	39	364
SC5D	2037	2258	913	520	98	108	218	1697	1344	605	1573	1122	796	172	410	528
CRTAM	6	12	43	4	0	14	3	6	0	2133	379	6045	3	21	524	1
C11orf63	1289	1084	620	99	73	57	340	670	441	234	612	694	219	265	138	0
B3GAT1	10	15	2	0	0	0	0	3	0	1389	8	95	0	0	0	0
HSPA8	48360	61100	62192	69971	14060	16111	28914	106830	134145	78927	126697	89399	36190	18531	55351	63008
P2RX3	0	0	0	0	0	0	0	0	0	0	2	0	1	0	9	0
VWA5A	2546	2013	990	92	208	174	137	2580	776	1166	815	336	597	218	821	9
DNAJC4	790	1945	440	37	1038	827	2191	1203	893	252	439	317	407	1613	1350	46
SIAE	1412	1338	949	224	141	171	188	1713	1381	223	791	645	478	74	945	192
SNX15	6	6	0	13	0	3	0	7	14	8	22	6	8	0	6	5
LPXN	328	592	1635	1951	126	538	650	1252	920	6020	7633	6710	2778	1939	7297	39
DTX4	35	96	459	88	11	456	2203	154	21	183	78	41	5848	5147	7915	1
ATG2A	387	806	347	36	157	125	685	496	747	408	524	407	218	583	1107	34
EHD1	394	818	681	193	470	562	1135	1337	1184	2286	1825	1441	896	1487	2963	118
OSBP	7282	7528	4171	5034	1768	1179	3615	9671	9640	5388	7714	5439	5397	4682	7408	1442
UNC93B1	78	97	161	22	42	215	1115	128	111	107	54	67	276	7334	2037	3
PUS3	615	781	635	482	64	35	19	1156	1098	828	872	726	481	107	628	139
DCPS	592	844	512	313	341	683	365	1924	1092	473	488	428	399	1373	1025	68
SUV420H1	5840	7057	3095	5751	601	348	1214	5470	5425	8553	7697	5848	5290	1862	4806	2562
FOXRED1	362	547	372	98	141	276	371	1035	1144	209	548	384	326	478	391	120
PPP6R3	11710	14224	7807	11974	2028	2756	5012	16417	16668	13153	16844	12238	12124	6786	13221	11623
NRXN2	25	81	219	55	254	568	1152	85	104	33	0	0	8	122	2	0
MS4A6A	5	38	248	164	209	1014	1580	138	17	91	88	77	912	790	53944	4
MS4A4A	32	37	250	277	0	22	289	95	2	12	0	0	20	858	1698	0
ST3GAL4	521	743	376	174	657	407	993	1290	454	476	62	45	5	1317	147	0
CPT1A	6662	8073	4586	4814	4063	3186	5994	7742	8444	4495	2874	2189	892	7360	5431	2141
CCND1	17	38	1	16	3	1	0	455	1413	229	135	94	260	28	4	1
CCDC86	416	697	358	29	170	204	259	863	1900	88	254	120	117	107	422	6
PRPF19	2038	3401	1552	500	2362	2461	6475	4616	6074	672	1503	900	385	1871	1583	260
TMEM109	2453	3696	2582	270	1195	1741	6374	5082	6408	2209	1894	1948	908	5488	2902	254
CCKBR	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
HPX	36	47	32	1	0	0	0	19	2	20	35	21	26	0	47	0
TRIM3	47	65	84	5	16	0	74	40	22	101	86	53	38	10	196	0
CHORDC1	2718	3416	2304	3786	491	436	1051	3264	3748	3686	4423	4057	2967	553	2208	1440
FOLR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAPC15	370	455	235	370	56	202	102	470	471	216	661	448	258	306	565	163
FOLR3	0	0	0	0	0	0	0	1	0	0	2	0	0	0	3685	0
PANX1	1533	1657	1686	2068	141	148	795	3009	2905	2159	1180	1131	1259	689	2662	12
ARHGEF17	2158	1966	749	131	440	175	1269	578	269	0	5	20	1	9	70	1
APOA5	0	6	0	0	0	0	0	0	0	0	0	0	0	11	1	0
APOA4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP164	857	1062	701	155	465	751	1230	900	1308	741	1056	606	670	2475	1514	43
RNF141	4995	5791	3027	2711	793	764	1306	4681	3881	1506	3643	2689	9856	1525	10985	1549
KIAA1377	1646	1508	615	313	93	29	521	845	629	2839	863	698	978	203	57	2
EIF4G2	57602	74479	47682	86342	20669	22793	49468	119751	154051	71672	103848	78307	99509	89475	142114	34284
IL10RA	303	210	204	6	312	763	2915	63	11	15771	16600	12140	7272	3117	37093	2
GALNT18	2	1	13	0	2	0	0	6	0	12	1	0	0	0	0	1
BIRC2	3908	4060	2256	2501	381	291	777	4210	3649	5591	5880	5361	3785	3365	5674	7603
UBE4A	9492	9684	6474	6071	1794	1807	4605	14798	16407	9600	12207	10383	8059	3937	17541	4363
DDX6	41115	48785	21739	35563	8355	9041	18920	52221	46366	60044	78381	63366	50532	26581	23844	39725
UPK2	1	2	0	5	2	0	0	2	1	24	10	6	0	0	2	0
CBL	17756	20126	15020	18027	3954	5424	13230	16569	3373	21015	36712	26190	26331	14867	51712	85
PVRL1	722	2096	1232	42	2229	1609	4207	8071	18799	575	94	64	69	11410	2496	1167
HIPK3	18355	16409	8217	20547	2764	4775	6767	16208	13816	21741	24502	21440	19545	4973	62529	5590
KIAA1549L	4	42	1	1	0	0	0	4	1	0	1	2	1	4	1	2
FBXO3	3610	3874	1427	3503	151	95	363	3723	2996	5589	9751	7046	5919	864	3250	2643
PDHX	2043	2994	1517	1575	323	264	428	3337	3886	1355	2566	1939	1645	647	2234	692
SLC1A2	77	170	76	4	14	0	11	371	88	71	289	126	259	8	446	38
COMMD9	1694	1847	1273	681	554	751	1856	2852	3226	866	1487	1256	912	943	6115	175
SLC15A3	3	0	1	1	0	0	20	2	1	86	186	103	837	98	8841	2
CD5	41	28	16	2	0	13	0	15	11	67	21974	9951	197	194	54	6
ACCS	419	590	375	35	141	76	426	951	580	179	382	233	401	208	477	1
SCGB2A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MDK	2535	3212	337	107	70	214	252	1745	121	13	47	28	3	208	5	0
AMBRA1	2169	2270	1186	2045	540	349	866	2324	3291	1675	2596	1791	1480	1344	1867	1214
MADD	8324	10249	4764	2332	2073	2342	3935	10040	7255	8055	7687	5047	3348	3762	7594	428
PTPMT1	884	864	629	305	117	274	521	996	980	325	426	325	389	276	629	92
NAA40	721	980	534	618	450	477	836	957	1199	1058	550	493	512	1726	223	58
CARS	826	1089	733	474	65	194	842	1788	1712	1326	1184	1368	767	848	2151	287
SLC22A18	134	111	151	0	114	117	57	209	96	92	80	51	24	2	793	1
CD81	3988	6325	2311	1717	1910	1652	2081	5633	4184	2816	2033	1970	2227	1423	1898	13
SLC35F2	2309	3723	2347	246	1059	1467	2819	5014	4893	234	1485	1183	1925	1319	105	1
C11orf21	769	1291	543	2	42	93	479	656	820	1534	987	1104	133	16	1150	318
ELMOD1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CALCA	0	0	0	0	0	1	0	0	0	16	11	15	0	6	0	0
SOX6	153	156	60	159	4	8	1	104	116	109	268	225	276	34	82	36124
C11orf58	7039	8259	4913	6367	1386	1599	3366	8859	8297	5643	10587	8206	9476	2445	5416	3569
